1441	1810	D1_Opening	h
1810	2032	D1_Talks_1	l
2032	2125	D1_Coffee	h
2125	2361	D1_Talks_2	l
2361	2672	D1_Lunch	h
2672	2775	D1_Talks_3	l
2775	3169	D1_Poster	h
3169	3267	D1_Talks_4	l
3267	3392	D1_Closing	h
5888	6323	D2_Talks_1	l
6323	6445	D2_Coffee_1	h
6445	6674	D2_Talks_2	l
6674	6951	D2_Lunch	h
6951	7128	D2_Talks_3	l
7128	7317	D2_Coffee_2	h
7317	7509	D2_Talks_4	l
7509	7982	D2_Poster	h
10232	10626	D3_Talks_1	l
10626	10751	D3_Coffee	h
10751	10976	D3_Talks_2	l
10976	11260	D3_Lunch	h
11260	11550	D3_Talks_3	l
11550	11749	D3_Poster	h
