t,i,j,readers
1499752840,557,708,"['005', '036', '082']"
1499753480,579,708,"['005', '036', '082', '305']"
1499753660,579,1482,"['005', '011', '036']"
1499753660,737,1482,"['005', '011', '036']"
1499753700,500,579,"['011', '036', '082', '154']"
1499753700,557,1482,"['005', '036']"
1499753700,579,1482,"['011', '036', '082', '154']"
1499753720,500,1482,"['005', '036', '305']"
1499753720,557,1482,"['005', '036', '305']"
1499753720,579,1482,"['005', '036', '305']"
1499753760,500,579,['036']
1499753760,512,579,['036']
1499753760,579,1482,['036']
1499753840,557,1482,"['005', '011', '036', '082']"
1499753900,737,1482,['036']
1499753960,500,1482,"['005', '036']"
1499753960,737,1482,"['005', '036']"
1499754120,579,737,"['005', '036']"
1499754120,579,1482,"['005', '036']"
1499754140,500,1482,['036']
1499754140,579,737,"['005', '036']"
1499754140,737,1482,"['005', '036']"
1499754160,500,1482,"['005', '036']"
1499754160,579,1482,"['005', '036']"
1499754180,500,579,"['005', '036']"
1499754180,579,1482,"['005', '036']"
1499754200,737,1482,"['005', '036']"
1499754260,500,579,"['005', '036']"
1499754320,500,579,"['015', '078']"
1499754360,500,579,"['015', '078']"
1499754440,500,579,"['015', '078']"
1499754640,500,579,['016']
1499754700,500,579,['016']
1499754700,737,1482,"['005', '036']"
1499755140,512,719,"['005', '036']"
1499755180,87,1053,"['036', '305']"
1499755200,87,1053,"['005', '036']"
1499755200,87,1482,"['005', '036', '082', '305']"
1499755200,1053,1482,"['005', '036', '082', '305']"
1499755220,318,557,"['015', '078']"
1499755220,557,708,"['015', '078']"
1499755240,87,1053,"['036', '305']"
1499755260,87,1053,"['005', '036']"
1499755300,87,1053,"['005', '036']"
1499755300,719,1076,['036']
1499755320,87,1053,"['005', '036']"
1499755360,87,1053,"['036', '305']"
1499755380,87,1053,"['005', '036']"
1499755400,719,1076,"['036', '305']"
1499755420,87,1053,"['036', '305']"
1499755440,87,1053,"['005', '036']"
1499755480,87,1053,['036']
1499755500,87,1053,"['005', '036']"
1499755520,500,579,['014']
1499755540,87,1053,"['036', '305']"
1499755540,318,557,"['015', '078']"
1499755560,87,1053,['036']
1499755560,719,1076,"['005', '036', '305']"
1499755580,318,557,['078']
1499755580,500,1482,"['005', '036', '082', '305']"
1499755620,87,1053,['036']
1499755660,557,1076,"['036', '305']"
1499755680,87,1053,['036']
1499755680,557,1076,"['011', '036', '305']"
1499755680,1076,1482,"['011', '036', '305']"
1499755740,737,1482,['036']
1499755840,579,1053,['036']
1499755840,708,719,"['005', '036']"
1499755860,512,719,"['005', '011', '036', '305']"
1499755920,318,334,"['036', '305']"
1499755920,500,512,"['005', '036', '154', '305']"
1499755920,512,1076,"['005', '036', '154', '305']"
1499755960,579,710,['036']
1499755960,710,1053,['036']
1499755980,500,512,"['005', '036']"
1499755980,579,1053,"['005', '036', '082']"
1499755980,710,1053,"['005', '036', '082']"
1499756040,500,719,"['005', '036']"
1499756040,512,719,"['005', '036', '154', '305']"
1499756040,557,708,"['015', '078']"
1499756040,579,1053,"['005', '036']"
1499756080,242,1076,"['036', '305']"
1499756080,710,1076,"['036', '305']"
1499756100,318,557,"['015', '078']"
1499756100,318,708,"['015', '078']"
1499756100,557,708,"['015', '078']"
1499756120,447,500,"['005', '011', '036']"
1499756140,318,557,"['015', '078']"
1499756140,318,708,"['015', '078']"
1499756140,500,1076,"['005', '036', '154', '305']"
1499756140,710,1053,"['005', '011', '036', '305']"
1499756160,318,557,"['015', '078']"
1499756160,318,708,"['015', '078']"
1499756160,557,708,"['015', '078']"
1499756200,318,557,"['015', '078']"
1499756200,318,708,"['015', '078']"
1499756220,234,242,"['005', '015', '036', '305']"
1499756220,318,557,"['015', '078']"
1499756220,318,708,"['015', '078']"
1499756220,557,708,"['015', '078']"
1499756240,334,1076,"['005', '011', '036', '305']"
1499756240,579,1053,"['005', '036']"
1499756240,1053,1076,"['005', '036']"
1499756260,500,737,['036']
1499756280,318,557,"['015', '078']"
1499756280,318,708,"['015', '078']"
1499756280,557,708,"['015', '078']"
1499756320,579,710,"['005', '036']"
1499756320,710,1482,"['005', '036']"
1499756340,318,557,"['015', '078']"
1499756340,557,708,"['015', '078']"
1499756360,579,1053,['036']
1499756360,710,737,"['005', '036']"
1499756360,710,1076,"['005', '036', '305']"
1499756380,579,1079,"['005', '036', '154', '305']"
1499756380,710,1079,"['005', '036', '154', '305']"
1499756380,737,1079,"['005', '036', '154', '305']"
1499756380,1053,1079,"['005', '036', '154', '305']"
1499756380,1076,1079,"['005', '036', '154', '305']"
1499756400,1076,1080,['036']
1499756420,579,1053,"['005', '036']"
1499756420,710,1053,"['005', '036']"
1499756420,737,1079,"['005', '036']"
1499756440,579,1079,['154']
